county,state,acres92,acres87,sizemeas,pii,weight,jtprob1,jtprob2,jtprob3,jtprob4,jtprob5,jtprob6,jtprob7,jtprob8,jtprob9,jtprob10,jtprob11,jtprob12,jtprob13,jtprob14,jtprob15
ST MARTI,LA,70936,73265,73265,0.001137612,879.0341864,0,3.45E-06,4.90E-06,5.24E-06,5.48E-06,5.70E-06,6.10E-06,6.48E-06,8.53E-06,9.66E-06,0.000011146,1.44751E-05,1.64598E-05,1.71203E-05,3.16081E-05
HALIFAX,NC,204443,208333,208333,0.003234862,309.132205,3.45E-06,0,1.39261E-05,1.48963E-05,1.55912E-05,1.62182E-05,1.73546E-05,1.84368E-05,2.42598E-05,2.74596E-05,3.16992E-05,4.11672E-05,4.68117E-05,4.86901E-05,8.98933E-05
DOUGLAS,MO,300970,295392,295392,0.004586659,218.023642,4.90E-06,1.39261E-05,0,2.11238E-05,2.21092E-05,2.29983E-05,2.46098E-05,2.61443E-05,3.44016E-05,3.89391E-05,4.49511E-05,5.83771E-05,6.63814E-05,6.90451E-05,0.000127473
WASHINGT,IL,297003,315971,315971,0.004906196,203.8238942,5.24E-06,1.48963E-05,2.11238E-05,0,2.36502E-05,2.46012E-05,2.63251E-05,2.79666E-05,3.67994E-05,4.16531E-05,4.80841E-05,0.000062446,7.10081E-05,7.38575E-05,0.000136358
COCHRAN,TX,370572,330711,330711,0.005135069,194.7393333,5.48E-06,1.55912E-05,2.21092E-05,2.36502E-05,0,2.57495E-05,2.75537E-05,2.92719E-05,3.85169E-05,4.35972E-05,5.03284E-05,6.53606E-05,7.43223E-05,7.73047E-05,0.000142722
WRIGHT C,IA,353683,344010,344010,0.005341568,187.2109522,5.70E-06,1.62182E-05,2.29983E-05,2.46012E-05,2.57495E-05,0,2.86624E-05,3.04496E-05,4.00667E-05,4.53513E-05,5.23534E-05,6.79903E-05,7.73127E-05,0.000080415,0.000148465
LYON COU,MN,395023,368115,368115,0.005715855,174.951957,6.10E-06,1.73546E-05,2.46098E-05,2.63251E-05,2.75537E-05,2.86624E-05,0,3.25845E-05,4.28758E-05,4.85311E-05,0.000056024,7.27573E-05,8.27333E-05,8.60532E-05,0.000158874
WASHAKIE,WY,397883,391069,391069,0.00607227,164.6830602,6.48E-06,1.84368E-05,2.61443E-05,2.79666E-05,2.92719E-05,3.04496E-05,3.25845E-05,0,4.55512E-05,5.15592E-05,5.95197E-05,7.72972E-05,8.78956E-05,9.14226E-05,0.000168787
MILAM CO,TX,551148,514582,514582,0.007990101,125.1548629,8.53E-06,2.42598E-05,3.44016E-05,3.67994E-05,3.85169E-05,4.00667E-05,4.28758E-05,4.55512E-05,0,6.78596E-05,7.83368E-05,0.000101735,0.000115684,0.000120326,0.000222149
MEADE CO,KS,596103,582454,582454,0.009043974,110.57086,9.66E-06,2.74596E-05,3.89391E-05,4.16531E-05,4.35972E-05,4.53513E-05,4.85311E-05,5.15592E-05,6.78596E-05,0,8.86831E-05,0.000115171,0.000130963,0.000136218,0.00025149
MAVERICK,TX,678590,672382,672382,0.010440319,95.78251599,0.000011146,3.16992E-05,4.49511E-05,4.80841E-05,5.03284E-05,5.23534E-05,0.000056024,5.95197E-05,7.83368E-05,8.86831E-05,0,0.000132984,0.000151218,0.000157286,0.000290387
UINTA CO,WY,879694,873210,873210,0.013558648,73.75366712,1.44751E-05,4.11672E-05,5.83771E-05,0.000062446,6.53606E-05,6.79903E-05,7.27573E-05,7.72972E-05,0.000101735,0.000115171,0.000132984,0,0.000196509,0.000204394,0.000377359
BROWN CO,SD,1026353,992938,992938,0.015417708,64.86048441,1.64598E-05,4.68117E-05,6.63814E-05,7.10081E-05,7.43223E-05,7.73127E-05,8.27333E-05,8.78956E-05,0.000115684,0.000130963,0.000151218,0.000196509,0,0.000232522,0.000429291
EDWARDS,TX,1117134,1032782,1032782,0.01603638,62.35821274,1.71203E-05,4.86901E-05,6.90451E-05,7.38575E-05,7.73047E-05,0.000080415,8.60532E-05,9.14226E-05,0.000120326,0.000136218,0.000157286,0.000204394,0.000232522,0,0.000446588
MOHAVE C,AZ,1981938,1906756,1906756,0.029606891,33.77592081,3.16081E-05,8.98933E-05,0.000127473,0.000136358,0.000142722,0.000148465,0.000158874,0.000168787,0.000222149,0.00025149,0.000290387,0.000377359,0.000429291,0.000446588,0
